#Time To Switch#	#Num of Incorrect Switch#	#Target Mode#	#Current Mode#
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0	Segway	Segway
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
0	0		
0	0	Walking	Walking
